Date,DJA,IXIC,SPX,RUT
10/1/2010,4033.189941,2652.870117,1257.640015,783.6500244
1/1/2011,4228.419922,2781.070068,1325.829956,843.5499878
4/1/2011,4309.560059,2773.52002,1320.640015,827.4299927
7/1/2011,3742.600098,2415.399902,1131.420044,644.1599731
10/1/2011,4232.169922,2605.149902,1257.599976,740.9199829
1/1/2012,4460.529785,3091.570068,1408.469971,830.2999878
4/1/2012,4427.419922,2935.050049,1362.160034,798.4899902
7/1/2012,4441.700195,3116.22998,1440.670044,837.4500122
10/1/2012,4442.069824,3019.51001,1426.189941,849.3499756
1/1/2013,5036.939941,3267.52002,1569.189941,951.539978
4/1/2013,5034.660156,3403.25,1606.280029,977.4799805
7/1/2013,5166.609863,3771.47998,1681.550049,1073.790039
10/1/2013,5641.549805,4176.589844,1848.359985,1163.640015
1/1/2014,5725.850098,4198.990234,1872.339966,1173.040039
4/1/2014,6009.939941,4408.180176,1960.22998,1192.959961
7/1/2014,6063.439941,4493.390137,1972.290039,1101.680054
10/1/2014,6473.600098,4736.049805,2058.899902,1204.699951
1/1/2015,6328.120117,4900.879883,2067.889893,1252.77002
4/1/2015,6096.220215,4986.870117,2063.110107,1253.949951
7/1/2015,5812.930176,4620.160156,1920.030029,1100.689941
10/1/2015,5978.339844,5007.410156,2043.939941,1135.890015
1/1/2016,6275.600098,4869.850098,2059.73999,1114.030029
4/1/2016,6303.439941,4842.669922,2098.860107,1151.920044
7/1/2016,6424.870117,5312,2168.27002,1251.650024
10/1/2016,6902.450195,5383.120117,2238.830078,1357.130005
1/1/2017,7155.819824,5911.740234,2362.719971,1385.920044
4/1/2017,7402.299805,6140.419922,2423.409912,1415.359985
7/1/2017,7711.120117,6495.959961,2519.360107,1490.859985
10/1/2017,8310.349609,6903.390137,2673.610107,1535.51001
1/1/2018,8092.529785,7063.450195,2640.870117,1529.430054
4/1/2018,8146.049805,7510.299805,2718.370117,1643.069946
7/1/2018,8810.240234,8046.350098,2913.97998,1696.569946
10/1/2018,7710.439941,6635.279785,2506.850098,1348.560059
1/1/2019,8598.459961,7729.319824,2834.399902,1539.73999
4/1/2019,8796.830078,8006.240234,2941.76001,1566.569946
7/1/2019,8961.150391,7999.339844,2976.73999,1523.369995
10/1/2019,9386.480469,8972.599609,3230.780029,1668.469971
1/1/2020,7221.209961,7700.100098,2584.590088,1153.099976
4/1/2020,8292.070313,10058.76953,3100.290039,1441.369995
7/1/2020,9190.950195,11167.50977,3363,1507.689941
10/1/2020,10108.70996,12888.28027,3756.070068,1974.859985
1/1/2021,11051.16992,13246.87012,3972.889893,2220.52002
4/1/2021,11395.4502,14503.9502,4297.5,2310.550049
7/1/2021,11080.33984,14448.58008,4307.540039,2204.370117
10/1/2021,12266.84961,15644.96973,4766.180176,2245.310059
1/1/2022,12000.32031,14220.51953,4530.410156,2070.129883
4/1/2022,10449.61035,11028.74023,3785.379883,1707.98999
7/1/2022,9679.490234,10575.62012,3585.620117,1664.719971
10/1/2022,10962.83008,10466.48047,3839.5,1761.25
1/1/2023,11163.80957,12221.91016,4109.310059,1802.47998
4/1/2023,11563.04004,13787.91992,4450.379883,1888.72998
7/1/2023,11120.15039,13219.32031,4288.049805,1785.099976
10/1/2023,12249.96973,15011.34961,4769.830078,2027.069946
1/1/2024,12735.74023,16379.45996,5254.350098,2124.550049
4/1/2024,12412.95996,16735.01953,5277.509766,2070.129883
