DATE,GDP,USJO,USE,USU,USP,FFR,Inflation,DJIA,GSADF_Stat,Log_GDP,Log_DJIA,Log_USJO,Log_USU,Log_USP,Log_Inflation
2001-01-01,3545780.0,4752.0,137088.0,6084.333333,284169.0,5.593333333,175.9,10786.85,4.7044443042154604,15.081268721954453,9.2860830786516,8.466320861042481,8.713472440339888,12.557324410581684,5.169915651743512
2001-04-01,3567923.5,4125.0,136719.3333,6327.0,284838.0,4.326666667,177.1333333,9878.78,3.2161510053369264,15.087494331869225,9.198144301336034,8.324821298768782,8.752581469146884,12.559675876585663,5.176902744469421
2001-07-01,3553629.0,3937.0,136225.6667,6922.333333,285584.0,3.496666667,177.6333333,10502.4,3.6602190685601808,15.083479892827407,9.259359081455717,8.278174290943738,8.842508178626716,12.56229148546929,5.179721500446974
2001-10-01,3563393.5,3249.0,136105.3333,7985.0,286311.0,2.133333333,177.5,8847.56,1.557399392114422,15.086223879129765,9.08789699377334,8.0861025356691,8.985320060649112,12.564833911584595,5.178970608915471
2002-01-01,3593196.3,3289.0,136360.0,8233.666667,286935.0,1.733333333,178.0666667,10021.5,2.1294846116266664,15.094552698613848,9.212488064033641,8.098338846189057,9.015986718998873,12.567010988254864,5.182158012194947
2002-04-01,3615212.0,3025.0,136806.6667,8463.666667,287574.0,1.75,179.4666667,10403.94,2.917035200823527,15.10066105639213,9.249939859539225,8.014666370464942,9.043537770879283,12.569235497404431,5.189989489848144
2002-07-01,3629908.3,2927.0,136651.6667,8315.0,288303.0,1.74,180.4333333,9243.26,2.2636333098794528,15.104717944213963,9.131649916264372,7.9817332866918855,9.025816391627028,12.571767289399617,5.195361364950082
2002-10-01,3634395.0,3095.0,137444.3333,8489.0,289007.0,1.443333333,181.5,7591.93,0.44108041676038173,15.105953217683483,8.934841120015435,8.037543185118697,9.046526486737967,12.574206188254522,5.201255653704905
2003-01-01,3653535.3,3007.0,137655.6667,8575.333333,289609.0,1.25,183.3666667,8341.63,0.8098574674402448,15.11120583213471,9.029013919901255,8.008698182988528,9.05664514393168,12.576287016358874,5.211487791395088
2003-04-01,3685891.8,2768.0,137544.0,9021.666667,290253.0,1.246666667,183.0666667,7992.13,0.6480722857630582,15.12002306246744,8.986212586462361,7.92588031673756,9.107384370599917,12.578508235424035,5.2098503854077896
2003-07-01,3747195.5,2636.0,138273.0,8942.666667,290974.0,1.016666667,184.4333333,8985.44,0.9847463271167479,15.136518251488145,9.103360768525043,7.877017895622398,9.098589108588792,12.580989195082903,5.21728806105522
2003-10-01,3790690.0,2923.0,138489.0,8541.666667,291669.0,0.996666667,185.1333333,9275.06,1.1660457977752257,15.148058618535547,9.135084356457407,7.980365765111246,9.052711427811625,12.583374876639642,5.221076286024539
2004-01-01,3812170.0,3095.0,138902.0,8342.666667,292237.0,1.003333333,186.7,10453.92,1.5530458491774966,15.153709138774449,9.254732306670409,8.037543185118697,9.0291381884901,12.585320395881297,5.2295030505476765
2004-04-01,3841712.5,3158.0,139538.6667,8222.666667,292875.0,1.01,188.1666667,10357.7,1.55118030218295,15.16142878869339,9.245485483444105,8.057694194815587,9.014649847483811,12.587501175810097,5.237328095098755
2004-07-01,3878154.8,3482.0,140029.3333,8017.666667,293603.0,1.433333333,189.3666667,10435.48,1.498952171547783,15.170870031471292,9.252966817495064,8.155362120328135,8.98940271925271,12.589983793653946,5.243685171070997
2004-10-01,3917720.0,3557.0,140428.0,7975.666667,294334.0,1.95,191.4,10080.27,1.2466905287519057,15.181020409899697,9.218335326980915,8.176672771948455,8.984150518767361,12.592470455921084,5.254365479018854
2005-01-01,3961181.8,3490.0,141525.6667,7833.666667,294957.0,2.47,192.3666667,10783.01,1.555214179957373,15.192052973051426,9.285727026267342,8.157657015196472,8.96618596379282,12.594584861985675,5.259403273222091
2005-04-01,3980695.5,3805.0,142287.0,7615.666667,295588.0,2.943333333,193.6666667,10503.76,1.4400579059712053,15.196967110737555,9.259488567282913,8.244071270295786,8.937962808050143,12.59672187183298,5.266138468355918
