DATE,GEPUCURRENT
1997-01-01,74.7576544455901
1997-02-01,77.86223783990066
1997-03-01,67.037551337418
1997-04-01,72.92658391371153
1997-05-01,71.8143944425401
1997-06-01,78.20400204764356
1997-07-01,64.21219328332162
1997-08-01,63.177423617600724
1997-09-01,67.64688688197393
1997-10-01,82.63628627119444
1997-11-01,95.35465539818509
1997-12-01,105.44970826917047
1998-01-01,96.83721833261427
1998-02-01,84.06871907546076
1998-03-01,85.88635842275782
1998-04-01,78.22937894235731
1998-05-01,85.14847317705112
1998-06-01,83.95152806233206
1998-07-01,101.26084956904118
1998-08-01,113.77583206151685
1998-09-01,141.61646514984105
1998-10-01,119.17413603059256
1998-11-01,96.52883370121569
1998-12-01,90.90203407876861
1999-01-01,96.24968787431285
1999-02-01,79.7360832714082
1999-03-01,63.96626909524101
1999-04-01,63.14366113798032
1999-05-01,70.47086996224151
1999-06-01,71.48447738042715
1999-07-01,72.04663090562262
1999-08-01,62.24133205550971
1999-09-01,67.32085578935954
1999-10-01,65.70259092732924
1999-11-01,68.11916070420313
1999-12-01,60.27348329409329
2000-01-01,63.37225901503521
2000-02-01,58.69469872299064
2000-03-01,60.834605276682424
2000-04-01,64.2357841017705
2000-05-01,86.54837604425234
2000-06-01,87.99781374682367
2000-07-01,65.46352374132441
2000-08-01,53.82824272820391
2000-09-01,60.76977243138059
2000-10-01,68.90265628836212
2000-11-01,108.67682461554966
2000-12-01,102.01477965047214
2001-01-01,99.76609545506759
2001-02-01,100.02728793107347
2001-03-01,112.92027479062138
2001-04-01,109.26875315075296
2001-05-01,84.71486264926637
2001-06-01,73.72607326543361
2001-07-01,99.75182515960537
2001-08-01,85.0669297697399
2001-09-01,179.52567424243406
2001-10-01,171.03300580272497
2001-11-01,125.45026705150325
2001-12-01,107.77289089386403
2002-01-01,106.37549521338772
2002-02-01,89.680372700128
2002-03-01,78.84509987650982
2002-04-01,83.39614447923982
2002-05-01,78.8726857907897
2002-06-01,94.08974090153694
2002-07-01,100.034810655925
2002-08-01,106.7041575805649
2002-09-01,122.49287482235394
2002-10-01,117.10606178345445
2002-11-01,122.11965070466245
2002-12-01,118.577065905795
2003-01-01,127.2941090244447
2003-02-01,135.81695056701386
2003-03-01,169.2772100014815
2003-04-01,135.22701195838303
2003-05-01,106.115810491496
2003-06-01,88.82052523696716
2003-07-01,79.51250127462365
2003-08-01,69.01028984926258
2003-09-01,81.25911244203768
2003-10-01,76.42340038801308
2003-11-01,73.13579346362536
2003-12-01,70.48052721561297
2004-01-01,72.55382627842609
2004-02-01,71.37241728297288
2004-03-01,78.10868075980522
2004-04-01,76.42477935378622
2004-05-01,91.31198912002806
2004-06-01,76.8148003017654
2004-07-01,74.02706873904445
2004-08-01,69.13273707852649
2004-09-01,78.89283038700162
2004-10-01,89.18312328789078
2004-11-01,84.46235883302545
2004-12-01,64.96930031897925
2005-01-01,57.8196702038465
2005-02-01,54.33652275186774
2005-03-01,54.079601006879365
2005-04-01,68.73367151169698
2005-05-01,69.3639928195821
2005-06-01,70.0069781278376
2005-07-01,61.418968058625836
2005-08-01,61.46689628216081
2005-09-01,92.8782068572654
2005-10-01,64.66852229232644
2005-11-01,67.36034180944512
2005-12-01,60.62435419974095
2006-01-01,68.71827913778505
2006-02-01,58.18813808280839
2006-03-01,58.34168411235448
2006-04-01,72.91516614750621
2006-05-01,63.12631078841967
2006-06-01,73.50172748069252
2006-07-01,68.0507742370499
2006-08-01,57.35936793883245
2006-09-01,59.27193529867099
2006-10-01,60.04204463256643
2006-11-01,57.21783324698346
2006-12-01,56.874983228472196
2007-01-01,65.54873120656593
2007-02-01,54.675763622743986
2007-03-01,64.00320861815388
2007-04-01,60.55322780438952
2007-05-01,56.72143245662315
2007-06-01,56.935526280852585
2007-07-01,49.22686236006394
2007-08-01,77.55590957650121
2007-09-01,99.92650946765121
2007-10-01,79.9112914814724
2007-11-01,84.61997736023815
2007-12-01,95.53796001141808
2008-01-01,135.16906551837695
2008-02-01,102.19107442408858
2008-03-01,118.2879113196291
2008-04-01,92.0766266386204
2008-05-01,78.1671764048802
2008-06-01,88.71156551038443
2008-07-01,94.62386639187943
2008-08-01,90.25628368779115
2008-09-01,167.81543740568927
2008-10-01,206.0425319378455
2008-11-01,143.46379413895065
2008-12-01,145.88412937322624
2009-01-01,146.29895994703037
2009-02-01,147.8324334956328
2009-03-01,132.31913290557753
2009-04-01,103.60578043123556
2009-05-01,103.64643752380894
2009-06-01,109.90662835359272
2009-07-01,101.27970055870935
2009-08-01,98.25295427747791
2009-09-01,99.41546059923303
2009-10-01,86.3540698350993
2009-11-01,99.45631203919308
2009-12-01,98.4101819870369
2010-01-01,113.05338918180311
2010-02-01,111.37499800797964
2010-03-01,107.56233206375983
2010-04-01,103.82601519095478
2010-05-01,146.92291446489574
2010-06-01,134.1314180018485
2010-07-01,141.94432988719163
2010-08-01,121.0699759520358
2010-09-01,132.66762085015748
2010-10-01,122.84726540665312
2010-11-01,127.55865951102506
2010-12-01,130.46207656680565
2011-01-01,110.53781868609032
2011-02-01,93.99837030537766
2011-03-01,127.25141604957342
2011-04-01,115.89673632037322
2011-05-01,89.15496194854472
2011-06-01,117.62727633358355
2011-07-01,156.77669954043228
2011-08-01,215.0422942261498
2011-09-01,190.52464782492407
2011-10-01,166.42541726742036
2011-11-01,198.12319322230107
2011-12-01,182.79984539425456
2012-01-01,161.9961290654145
2012-02-01,142.61912841470917
2012-03-01,134.699583835419
2012-04-01,127.52773194048265
2012-05-01,160.44644833361224
2012-06-01,189.44254362040417
